,0,n,e,r,s
iis,0.0,1.0,0.0,0.0,0.0
x-2,1.0,0.0,0.0,0.0,0.0
ckt,0.03333333333333333,0.55,0.38333333333333336,0.03333333333333333,0.0
tet,0.014285714285714285,0.38571428571428573,0.5571428571428572,0.014285714285714285,0.02857142857142857
lüs,0.0,0.09937888198757763,0.9006211180124224,0.0,0.0
ndl,0.1111111111111111,0.4444444444444444,0.0,0.3333333333333333,0.1111111111111111
egt,0.5384615384615384,0.15384615384615385,0.3076923076923077,0.0,0.0
elg,0.0,1.0,0.0,0.0,0.0
uos,1.0,0.0,0.0,0.0,0.0
sst,0.3898305084745763,0.5550847457627118,0.0423728813559322,0.012711864406779662,0.0
ize,0.37777777777777777,0.5222222222222223,0.0,0.0,0.1
ipt,0.6336336336336337,0.06606606606606606,0.25075075075075076,0.0,0.04954954954954955
